lead_id,contact_name,company_name,industry,company_size,lead_source,job_title,country,region,status,created_date
L10042,Aiga Vītoliņš,Lumenlogic Networks,FinServ,570.0,Website,VP Sales,Latvia,Europe,Contacted,2010-02-02
L10043,Allison Hill,Lumenshift Labs,Retail,5150.0,Trade Show,CEO,Luxembourg,Europe,Lost,2010-02-02
L10044,Noah Rhodes,Northstarcore Enterprises,Education,29.0,Referral,CEO,Singapore,APAC,Lost,2010-02-03
L10045,Angie Henderson,OrbitIfy Ventures,FinServ,16.0,LinkedIn,Operations Director,Singapore,APAC,Unqualified,2010-02-04
L10046,Ali Schellekens,Summitsphere Group,Retail,314.0,Website,VP Sales,Netherlands,Europe,Lost,2010-02-05
L10047,Charles Garcia,Deltabeam Labs,Education,69.0,Referral,CEO,Malaysia,APAC,Unqualified,2010-02-05
L10048,حسین رضا زاده,Cobaltsphere Enterprises,SaaS,138.0,Trade Show,Marketing Manager,Iran,EMEA,Converted,2010-02-06
L10049,Elisabet Blomgren Berg,CobaltCore Industries,Retail,34.0,Cold Call,Operations Director,Sweden,Europe,Lost,2010-02-07
L10050,"Balidin Dongoran, S.T.",Quantumforge Ventures,Retail,49.0,Referral,VP Sales,Indonesia,APAC,Unqualified,2010-02-08
L10051,Francisco Javier Chávez,BlueIfy Global,Logistics,164.0,Website,Marketing Manager,Mexico,LATAM,Lost,2010-02-08
L10052,Ларионова София Богдановна,Deltaforge Innovations,Healthcare,361.0,Webinar,Operations Director,Russia,Europe,Lost,2010-02-09
L10053,Jan Andersson Engström,Vertexforge Technologies,Logistics,47.0,Website,CEO,Sweden,Europe,Unqualified,2010-02-09
L10054,ალექსანდრე ყოლბაია,Vertexify Industries,Retail,166.0,Trade Show,VP Sales,Georgia,EMEA,Lost,2010-02-10
L10055,Nina Blatnik,SkyPath Partners,FinServ,466.0,Cold Call,Procurement Lead,Slovenia,Europe,Lost,2010-02-10
L10056,Hubert Vávra,ZenithBeam Group,Logistics,111.0,Trade Show,Marketing Manager,Czech Republic,Europe,Lost,2010-02-11
L10057,Mr. Alister Kinnear,Silvertrail Dynamics,Logistics,38.0,LinkedIn,IT Manager,Ireland,Europe,Converted,2010-02-11
L10058,"Butkus, Karolis",Skygate Technologies,Logistics,60.0,Webinar,Procurement Lead,Lithuania,Europe,Converted,2010-02-12
L10059,Anka Škoda,DeltaPath Industries,Logistics,128.0,Referral,Marketing Manager,Croatia,Europe,Converted,2010-02-13
L10060,Euan Hedderman-Dwane,NorthstarPath Industries,Logistics,123.0,Referral,VP Sales,Ireland,Europe,Lost,2010-02-14
L10061,เกษมชัย บุญส่ง,NorthstarGrid Labs,Retail,16.0,Cold Call,VP Sales,Thailand,APAC,Lost,2010-02-15
L10062,Захар Викентьевич Зиновьев,Quantumify Solutions,FinServ,54.0,Website,Procurement Lead,Russia,Europe,New,2010-02-15
L10063,Patrick Gardner,Summitwave Dynamics,FinServ,155.0,Cold Call,Marketing Manager,Singapore,APAC,Unqualified,2010-02-16
L10064,Claire Baldauf-Schönberger,NexForge Partners,FinServ,73.0,Cold Call,IT Manager,Austria,Europe,New,2010-02-17
L10065,Mara Hranić,Orbitgrid Global,FinServ,29.0,Webinar,CEO,Croatia,Europe,Lost,2010-02-18
L10066,Helge Ahmed-Svendsen,BrightForge Industries,Education,485.0,Webinar,Procurement Lead,Norway,Europe,Contacted,2010-02-18
L10067,Захар Викентьевич Зиновьев,CobaltCore Systems,Healthcare,9.0,Cold Call,IT Manager,Kazakhstan,APAC,Lost,2010-02-19
L10068,Anamaria Gheorghiu,BrightGate Labs,Logistics,87.0,LinkedIn,VP Sales,Romania,Europe,Lost,2010-02-19
L10069,刘旭,Lumenshift Enterprises,Retail,101.0,Cold Call,Procurement Lead,China,APAC,New,2010-02-20
L10070,María Romero,SummitLink Partners,Logistics,53.0,LinkedIn,IT Manager,Chile,LATAM,Lost,2010-02-21
L10071,Daniel Wagner,Vantagepath Solutions,Logistics,159.0,Referral,Marketing Manager,Luxembourg,Europe,Unqualified,2010-02-22
L10072,김재호,Novacore Technologies,SaaS,65.0,Webinar,Marketing Manager,South Korea,APAC,New,2010-02-23
L10073,Esmée van Haeften,Lumenlogic Innovations,Education,135.0,LinkedIn,Procurement Lead,Netherlands,Europe,Lost,2010-02-24
L10074,Корнилова Агата Валериевна,Nexcove Partners,Logistics,89.0,LinkedIn,VP Sales,Kazakhstan,APAC,Lost,2010-02-25
L10075,Gina Moore,Summitlink Technologies,FinServ,35.0,LinkedIn,Marketing Manager,Albania,Europe,Converted,2010-02-26
L10076,Aroa Bru Pinto,Deltagrid Labs,FinServ,227.0,Website,Operations Director,Peru,LATAM,New,2010-02-26
L10077,Tomás Ibáñez,SummitGate Labs,Healthcare,484.0,Cold Call,Marketing Manager,Chile,LATAM,Converted,2010-02-27
L10078,جلاء بنو العريج,Zenithbeam Enterprises,Retail,16.0,Webinar,Operations Director,United Arab Emirates,EMEA,Lost,2010-02-28
L10079,Viesturs Liepiņš,Orbitloop Industries,Manufacturing,27.0,LinkedIn,CEO,Latvia,Europe,Lost,2010-03-01
L10080,Megan Mcclain,OrbitCore Group,Manufacturing,45.0,Cold Call,Procurement Lead,Singapore,APAC,Lost,2010-03-01
L10081,Teodor Beran,OrbitGate Dynamics,Retail,,Webinar,Operations Director,Czech Republic,Europe,Lost,2010-03-02
L10082,Caleb Cunha,Crestgate Partners,FinServ,256.0,LinkedIn,IT Manager,Brazil,LATAM,Converted,2010-03-03
L10083,Joshua Nkansa,Nexpath Industries,Logistics,196.0,Website,Procurement Lead,Ghana,EMEA,Lost,2010-03-04
L10084,Şirzad Salamoğlu,CobaltTrail Networks,Manufacturing,20.0,LinkedIn,Procurement Lead,Azerbaijan,EMEA,Contacted,2010-03-04
L10085,Allison Hill,Nexgate Global,Education,29.0,Referral,IT Manager,Malta,Europe,Lost,2010-03-05
L10086,Dr. Szűcs Kristóf,VertexShift Labs,SaaS,578.0,LinkedIn,Procurement Lead,Hungary,Europe,Lost,2010-03-06
L10087,Dr. Adebiyi Salami,OrbitGrid Dynamics,Manufacturing,35.0,Trade Show,Procurement Lead,Nigeria,EMEA,Lost,2010-03-07
L10088,Luca Weber,Silverlogic Ventures,Retail,61.0,Referral,CEO,Switzerland,Europe,Converted,2010-03-08
L10089,Aryan Maharaj,CrestSphere Solutions,Healthcare,58.0,LinkedIn,VP Sales,India,APAC,Lost,2010-03-08
L10090,Էդգար Ալաբերկյան,Apexlogic Enterprises,SaaS,175.0,Webinar,IT Manager,Armenia,EMEA,Lost,2010-03-09
L10091,Mrs. Niamh Tormey,NovaBeam Technologies,FinServ,118.0,Website,Marketing Manager,Ireland,Europe,Lost,2010-03-09
L10092,Morten Søndergaard,Skyshift Systems,Healthcare,432.0,Referral,IT Manager,Denmark,Europe,Converted,2010-03-10
L10093,Brandon Hall,Vantageloop Innovations,SaaS,60.0,Cold Call,Marketing Manager,Malaysia,APAC,Lost,2010-03-10
L10094,Camilla Asmundo-Leone,Brightshift Enterprises,Healthcare,70.0,Cold Call,Procurement Lead,Italy,Europe,Lost,2010-03-11
L10095,Ljubica Dobrić,Zenithwave Innovations,Logistics,122.0,Webinar,CEO,Croatia,Europe,Lost,2010-03-11
L10096,Nora Svendsen,LumenTrail Technologies,Retail,230.0,Webinar,Operations Director,Norway,Europe,Converted,2010-03-12
L10097,Angie Henderson,Silverify Dynamics,Logistics,168.0,LinkedIn,Procurement Lead,Malaysia,APAC,Lost,2010-03-13
L10098,Catalina Martinez Juarez,DeltaLoop Group,Healthcare,128.0,Website,Marketing Manager,Argentina,LATAM,Lost,2010-03-14
L10099,Akar Ziyaettin Aslan Yüksel,QuantumShift Partners,FinServ,39.0,Webinar,Procurement Lead,Turkey,EMEA,Lost,2010-03-15
L10100,Valentino Santino Villalba,LumenSphere Global,Logistics,118.0,LinkedIn,Marketing Manager,Argentina,LATAM,Lost,2010-03-15
L10101,Pahal Balay,ZenithTrail Ventures,FinServ,118.0,Website,Operations Director,India,APAC,Converted,2010-03-16
L10102,অভি বিশ্বাস,Pioneerbeam Global,Manufacturing,248.0,Webinar,Procurement Lead,Bangladesh,APAC,Converted,2010-03-17
L10103,An Vũ,SilverSphere Networks,Education,111.0,Referral,CEO,Vietnam,APAC,Converted,2010-03-18
L10104,Allison Hill,Novawave Systems,Education,20.0,Trade Show,Procurement Lead,Canada,North America,Lost,2010-03-19
L10105,Langalibalele Thabekhulu,PioneerGrid Innovations,Healthcare,21.0,LinkedIn,Procurement Lead,South Africa,EMEA,Lost,2010-03-19
L10106,Nilo Bonet Roca,Northstarloop Systems,Retail,197.0,Website,IT Manager,Spain,Europe,New,2010-03-20
L10107,Brandon Hall,Summitpath Dynamics,Education,361.0,Trade Show,Operations Director,Malaysia,APAC,Converted,2010-03-21
L10108,Vân Phạm,QuantumSphere Industries,Manufacturing,33.0,Cold Call,VP Sales,Vietnam,APAC,Lost,2010-03-22
L10109,Αστέρω Αργυροπούλου,Cobalttrail Innovations,Manufacturing,149.0,Webinar,Marketing Manager,Greece,Europe,Converted,2010-03-22
L10110,جلاء آل معيض,Lumentrail Labs,FinServ,278.0,Referral,CEO,Saudi Arabia,EMEA,Converted,2010-03-23
L10111,Δωρόθεος Γρατσιάς,Apexcore Industries,SaaS,67.0,Website,IT Manager,Greece,Europe,Converted,2010-03-23
L10112,Fru Nora Andresen,Blueforge Industries,Education,36.0,Trade Show,Marketing Manager,Denmark,Europe,Lost,2010-03-24
L10113,Allison Hill,Nexshift Industries,Healthcare,82.0,Webinar,Procurement Lead,Egypt,EMEA,Lost,2010-03-25
L10114,Cahyono Jailani,Bluesphere Ventures,SaaS,135.0,LinkedIn,VP Sales,Indonesia,APAC,Lost,2010-03-26
L10115,Stephanie Miller,Bluecore Group,Logistics,384.0,LinkedIn,Operations Director,Egypt,EMEA,Lost,2010-03-26
L10116,Allen Robinson,SkyForge Partners,Healthcare,171.0,Cold Call,Operations Director,Luxembourg,Europe,Lost,2010-03-27
L10117,Alyssa Gonzalez,NorthstarLink Ventures,Retail,16.0,Trade Show,Operations Director,Albania,Europe,New,2010-03-28
L10118,정서윤,Blueshift Innovations,SaaS,86.0,LinkedIn,Marketing Manager,South Korea,APAC,New,2010-03-29
L10119,Allison Hill,Orbitcore Systems,Manufacturing,24.0,Webinar,Operations Director,Bosnia and Herzegovina,Europe,Converted,2010-03-29
L10120,Albína Tomášeková,Deltaloop Networks,Healthcare,160.0,Website,CEO,Slovakia,Europe,Lost,2010-03-30
L10121,Martin Kasemaa,Brightloop Ventures,SaaS,77.0,Website,IT Manager,Estonia,Europe,New,2010-03-30
L10122,Ларионова София Богдановна,LumenGrid Partners,Manufacturing,218.0,Referral,Procurement Lead,Russia,Europe,Lost,2010-03-31
L10123,Ամալյա Ագոզյան,Vertexcove Industries,Logistics,32.0,Website,Marketing Manager,Armenia,EMEA,New,2010-03-31
L10124,Franck Rey,Brightshift Innovations,Logistics,14.0,Website,Operations Director,France,Europe,Lost,2010-04-01
L10125,Javiera Magdalena Navarrete Espinoza,Brightloop Dynamics,Retail,29.0,Cold Call,Operations Director,Chile,LATAM,Lost,2010-04-01
L10126,Allison Hill,Vantageify Dynamics,Education,48.0,Trade Show,CEO,Jordan,EMEA,Lost,2010-04-02
L10127,Адам Литвин,Zenithgrid Networks,FinServ,110.0,Trade Show,VP Sales,Ukraine,Europe,Lost,2010-04-02
L10128,Charles Garcia,Primelink Labs,Education,142.0,Webinar,Procurement Lead,Malta,Europe,Converted,2010-04-03
L10129,Аделин Топчийски,CrestGrid Ventures,SaaS,96.0,Cold Call,Procurement Lead,Bulgaria,Europe,Lost,2010-04-04
L10130,Umar Lazizov,Skybeam Group,Retail,22.0,Cold Call,Procurement Lead,Uzbekistan,APAC,Lost,2010-04-05
L10131,Daniel Doyle,Northstarbeam Partners,FinServ,256.0,Webinar,VP Sales,Jordan,EMEA,Lost,2010-04-05
L10132,Antonia del Antón,Silverwave Partners,Healthcare,323.0,LinkedIn,Operations Director,Spain,Europe,Lost,2010-04-06
L10133,Աբրահամ Գնունի,Bluelogic Labs,Retail,17.0,Website,Operations Director,Armenia,EMEA,Lost,2010-04-06
L10134,Gabriel Pavez Becerra,NovaSphere Labs,Manufacturing,29.0,LinkedIn,CEO,Chile,LATAM,Lost,2010-04-07
L10135,Jerry Ramirez,Vantagetrail Systems,Education,129.0,LinkedIn,Marketing Manager,Egypt,EMEA,Lost,2010-04-07
L10136,რომან ცანავა,Crestwave Systems,Logistics,122.0,Cold Call,VP Sales,Georgia,EMEA,Lost,2010-04-08
L10137,Ruth Karlsen,VertexLink Innovations,Retail,167.0,LinkedIn,Operations Director,Norway,Europe,Converted,2010-04-08
L10138,Christopher Bernard,Pioneerlink Systems,Healthcare,9166.0,Webinar,Operations Director,Malta,Europe,Lost,2010-04-09
L10139,Azban Qaseem,Vantageforge Innovations,Manufacturing,444.0,Referral,VP Sales,Pakistan,APAC,Converted,2010-04-09
L10140,Henry Gabriel Carvalho,Summitsphere Technologies,Retail,294.0,Cold Call,IT Manager,Brazil,LATAM,New,2010-04-10
L10141,Megan Mcclain,DeltaForge Ventures,Retail,22.0,Cold Call,CEO,Egypt,EMEA,Lost,2010-04-11
L10142,Պարթև Մարգարյան,Silverbeam Systems,Education,14.0,Trade Show,Marketing Manager,Armenia,EMEA,New,2010-04-12
L10143,Bambad Mahmoud,Crestify Global,Education,85.0,Trade Show,Procurement Lead,Pakistan,APAC,New,2010-04-13
L10144,আশীষ সেন,Vertexlink Technologies,Manufacturing,47.0,Webinar,Operations Director,Bangladesh,APAC,Lost,2010-04-13
L10145,Alex Morgan,DeltaWave Labs,Healthcare,205.0,Trade Show,VP Sales,New Zealand,APAC,Lost,2010-04-14
L10146,Szymon Plewnia,Vertexwave Ventures,Logistics,12.0,Webinar,CEO,Poland,Europe,New,2010-04-14
L10147,गौरी थापा,SilverBeam Enterprises,Logistics,30.0,Cold Call,Operations Director,Nepal,APAC,Lost,2010-04-15
L10148,Danielle Taylor,PioneerBeam Labs,SaaS,,LinkedIn,Operations Director,Singapore,APAC,Lost,2010-04-16
L10149,Gunārs Purmale,BrightLogic Innovations,SaaS,38.0,Website,Procurement Lead,Latvia,Europe,Lost,2010-04-16
L10150,André Baptista,Brightcove Technologies,SaaS,203 emp,Website,CEO,Portugal,Europe,Contacted,2010-04-17
L10151,蔡志明,Crestcore Systems,FinServ,95.0,Website,Procurement Lead,Taiwan,APAC,Lost,2010-04-18
L10152,Др. Едрю Пондьов,Orbitshift Dynamics,FinServ,41.0,Trade Show,IT Manager,Bulgaria,Europe,Lost,2010-04-19
L10153,Rhonda Smith,VertexLogic Ventures,Education,462.0,Referral,CEO,Jordan,EMEA,Lost,2010-04-19
L10154,Павло Франчук,DeltaCove Industries,Education,243.0,LinkedIn,Operations Director,Ukraine,Europe,New,2010-04-20
L10155,Fenne Ketting,Apexshift Industries,Education,7.0,Referral,Procurement Lead,Netherlands,Europe,Contacted,2010-04-20
L10156,Надія Власенко,Brightlogic Dynamics,Logistics,112.0,Webinar,Procurement Lead,Ukraine,Europe,Lost,2010-04-21
L10157,Jūla Kauliņš,Apexshift Industries,Education,52.0,Website,CEO,Latvia,Europe,Lost,2010-04-21
L10158,श्रीमान यश धनावत,Lumenbeam Enterprises,Logistics,12.0,Website,IT Manager,Nepal,APAC,Lost,2010-04-22
L10159,Monica Herrera,BrightTrail Partners,Manufacturing,35.0,Website,Operations Director,Jordan,EMEA,New,2010-04-23
L10160,Jamie Arnold,VantageSphere Enterprises,Logistics,660.0,Cold Call,IT Manager,Albania,Europe,Contacted,2010-04-24
L10161,Tapio Korhonen-Hyvärinen,BlueSphere Partners,Healthcare,131.0,Webinar,VP Sales,Finland,Europe,Contacted,2010-04-25
L10162,Matthew Mejia,OrbitCove Industries,Retail,13.0,Trade Show,IT Manager,Philippines,APAC,Unqualified,2010-04-26
L10163,Mara Diaconescu,Cobaltcove Global,FinServ,19.0,LinkedIn,Operations Director,Romania,Europe,Lost,2010-04-26
L10164,Németh Hegedűs Katalin,Pioneertrail Industries,Education,270.0,Cold Call,CEO,Hungary,Europe,Lost,2010-04-27
L10165,Clementina Lasa Bellido,VertexTrail Systems,Logistics,141.0,Website,IT Manager,Venezuela,LATAM,Contacted,2010-04-27
L10166,धन्जु श्रेष्‍ठ,CobaltPath Solutions,Logistics,653.0,Webinar,Procurement Lead,Nepal,APAC,New,2010-04-28
L10167,Сорокина Октябрина Мироновна,Deltapath Enterprises,Education,14.0,Website,IT Manager,Russia,Europe,New,2010-04-28
L10168,কাফি মজুমদার,ApexWave Enterprises,Manufacturing,50.0,Cold Call,Procurement Lead,Bangladesh,APAC,Lost,2010-04-29
L10169,Mrs. Nkazimulo Chibini,Vantagelogic Enterprises,SaaS,153.0,Website,IT Manager,South Africa,EMEA,Lost,2010-04-30
L10170,加藤 香織,SkyCore Technologies,SaaS,228.0,LinkedIn,CEO,Japan,APAC,Lost,2010-04-30
L10171,Sofie Larsson,Cobaltcore Dynamics,Healthcare,87.0,LinkedIn,CEO,Sweden,Europe,Converted,2010-05-01
L10172,Ժաքլին Պերեճիկլյան,Vertexcove Dynamics,Education,29.0,Webinar,VP Sales,Armenia,EMEA,Converted,2010-05-02
L10173,Zarinova Shahnoza,QuantumIfy Innovations,Retail,8.0,LinkedIn,Marketing Manager,Uzbekistan,APAC,Lost,2010-05-03
L10174,Rubén Martín Ibarra Gallardo,ApexWave Enterprises,Retail,18.0,LinkedIn,Operations Director,Chile,LATAM,Lost,2010-05-04
L10175,Thành Hải Lê,Quantumlogic Solutions,Logistics,53.0,Webinar,Procurement Lead,Vietnam,APAC,Lost,2010-05-04
L10176,Ann Williams,VantageIfy Technologies,Logistics,105.0,Website,CEO,Bosnia and Herzegovina,Europe,Lost,2010-05-05
L10177,Claus Schou,NovaWave Partners,FinServ,363.0,Referral,Marketing Manager,Denmark,Europe,Lost,2010-05-06
L10178,Michael Carlson,ZenithPath Partners,Manufacturing,91.0,Trade Show,Operations Director,Bosnia and Herzegovina,Europe,Converted,2010-05-06
L10179,Lakshmi Sidhu,VertexCore Labs,Retail,70.0,Website,Marketing Manager,India,APAC,Lost,2010-05-07
L10180,Darragh Walls,Apextrail Partners,Manufacturing,96.0,Website,Operations Director,Ireland,Europe,Converted,2010-05-07
L10181,Mr Maurice Atkinson,Bluecore Innovations,Healthcare,103.0,Cold Call,Operations Director,United Kingdom,Europe,Converted,2010-05-08
L10182,Amandine Doyen,Apexforge Networks,SaaS,199.0,Website,Procurement Lead,Belgium,Europe,Lost,2010-05-09
L10183,Noah Rhodes,BlueLoop Partners,Logistics,,Trade Show,IT Manager,Albania,Europe,New,2010-05-10
L10184,林 篤司,Nexify Ventures,Logistics,8.0,Trade Show,Procurement Lead,Japan,APAC,Lost,2010-05-10
L10185,Carmelo Galeati,Deltawave Solutions,Retail,152.0,LinkedIn,Operations Director,Italy,Europe,New,2010-05-11
L10186,Malik Leclercq,Vantagegrid Networks,FinServ,79.0,Referral,IT Manager,Belgium,Europe,Converted,2010-05-11
L10187,সাব্বির মোড়ল,SummitSphere Ventures,FinServ,126.0,Cold Call,Operations Director,Bangladesh,APAC,Converted,2010-05-12
L10188,Luca do Freitas,SkyBeam Enterprises,Education,42.0,LinkedIn,Operations Director,Portugal,Europe,Lost,2010-05-12
L10189,Abigail Shaffer,Zenithgate Global,Logistics,260.0,Webinar,Procurement Lead,Bosnia and Herzegovina,Europe,New,2010-05-13
L10190,Sra. Manuela da Mota,SilverGate Global,Education,51.0,LinkedIn,CEO,Brazil,LATAM,New,2010-05-14
L10191,Peter Černý,PioneerWave Solutions,Logistics,42.0,Cold Call,VP Sales,Czech Republic,Europe,Unqualified,2010-05-15
L10192,Olivia Sosa Romero,Apextrail Group,FinServ,58.0,Website,VP Sales,Argentina,LATAM,Converted,2010-05-16
L10193,Thabani Dindela-Sothole,Skygate Global,Logistics,138.0,Trade Show,IT Manager,South Africa,EMEA,Lost,2010-05-17
L10194,Elsbeth Burri-Kern,VantageSphere Global,SaaS,180.0,LinkedIn,Operations Director,Switzerland,Europe,Lost,2010-05-17
L10195,Edward Fuller,Pioneerlogic Solutions,Retail,33.0,Trade Show,Operations Director,Bosnia and Herzegovina,Europe,New,2010-05-18
L10196,Lars Nilsson,LumenLogic Partners,Healthcare,45.0,Cold Call,Operations Director,Sweden,Europe,New,2010-05-18
L10197,Sibusiso Madlula,Quantumify Group,Retail,10.0,Trade Show,IT Manager,South Africa,EMEA,Lost,2010-05-19
L10198,"T. Bahuwirya Pradipta, S.IP",Primebeam Group,FinServ,20.0,Cold Call,IT Manager,Indonesia,APAC,Contacted,2010-05-19
L10199,Jean-François Piret,Nexwave Innovations,FinServ,173.0,LinkedIn,Marketing Manager,Belgium,Europe,Converted,2010-05-20
L10200,Léo Fogaça,Primepath Industries,Education,,LinkedIn,CEO,Brazil,LATAM,Lost,2010-05-20
L10201,Derek Zuniga,VertexCore Partners,FinServ,580.0,Trade Show,VP Sales,Luxembourg,Europe,Contacted,2010-05-21
L10202,Lisa Jackson,Crestlink Networks,Healthcare,53.0,Webinar,Procurement Lead,Luxembourg,Europe,Lost,2010-05-21
L10203,Carla Gray,SkyPath Dynamics,SaaS,431.0,Cold Call,CEO,Bosnia and Herzegovina,Europe,Converted,2010-05-22
L10204,Margaret Hawkins DDS,Brightify Systems,Healthcare,92 emp,Webinar,Operations Director,Egypt,EMEA,Lost,2010-05-23
L10205,Patty Perez,Novatrail Group,Logistics,132.0,Website,CEO,United States,North America,Lost,2010-05-24
L10206,Allison Hill,Pioneerloop Dynamics,Manufacturing,77.0,Cold Call,Marketing Manager,Australia,APAC,Lost,2010-05-24
L10207,Eyyub Eldar,SummitForge Enterprises,Logistics,893.0,LinkedIn,CEO,Azerbaijan,EMEA,New,2010-05-25
L10208,किरण पौडेल,BlueGate Technologies,Healthcare,323.0,Website,VP Sales,Nepal,APAC,Lost,2010-05-25
L10209,Akua Adusei,Northstarloop Enterprises,Healthcare,26.0,Cold Call,CEO,Ghana,EMEA,Lost,2010-05-26
L10210,Жуков Силантий Адрианович,Silvercore Partners,FinServ,20.0,Website,Procurement Lead,Kazakhstan,APAC,Lost,2010-05-27
L10211,Michelle Miles,Skylogic Dynamics,FinServ,226.0,Webinar,Procurement Lead,Philippines,APAC,Unqualified,2010-05-27
