opportunity_id,lead_id,deal_value,stage,owner,open_date,expected_close_date,actual_close_date
O20116,L10181,6584,Closed-Won,Christopher Moran,2010-05-17,2010-07-11,2010-07-24
O20117,L10182,52174,Closed-Lost,Susan Noble,2010-05-29,2010-06-21,2010-07-11
O20118,L10184,2160,Closed-Lost,Margaret Sanders,2010-05-24,2010-06-16,2010-07-04
O20119,L10186,15958,Closed-Won,Edward Copeland,2010-05-25,2010-08-09,2010-08-16
O20120,L10187,24751,Closed-Won,Christopher White,2010-05-24,2010-08-01,2010-08-15
O20121,L10188,4830,Closed-Lost,Amber Rowland,2010-05-27,2010-07-20,2010-08-13
O20122,L10192,8596,Closed-Won,Joann Melendez,2010-06-02,2010-07-07,2010-07-11
O20123,L10193,21832,Closed-Lost,Sharon Rasmussen,2010-05-30,2010-07-26,2010-08-10
O20124,L10194,37107,Closed-Lost,William Turner,2010-05-28,2010-08-13,2010-08-15
O20125,L10197,761,Closed-Lost,Sarah Smith,2010-05-27,2010-06-30,2010-07-03
O20126,L10199,14979,Closed-Won,Benjamin Mitchell,2010-05-29,2010-08-12,2010-08-28
O20127,L10200,13026,Closed-Lost,Erin Benitez,2010-06-09,2010-06-29,2010-07-09
O20128,L10202,12476,Closed-Lost,Laura Paul,2010-06-03,2010-07-12,2010-07-18
O20129,L10204,15090,Closed-Lost,Mary Gomez,2010-05-24,2010-07-22,2010-08-18
O20130,L10205,35708,Closed-Lost,William Holmes,2010-06-06,2010-08-15,2010-09-06
O20131,L10206,22531,Closed-Lost,Brittany Shelton,2010-05-28,2010-06-27,2010-07-22
O20132,L10208,33168,Closed-Lost,Kylie Garcia,2010-06-04,2010-07-09,2010-07-21
O20133,L10209,2846,Closed-Lost,Brittany Fitzgerald,2010-06-12,2010-08-07,2010-08-17
O20134,L10210,1594,Closed-Lost,Matthew Ramirez,2010-06-01,2010-08-15,2010-09-05
O20135,L10217,23229,Closed-Lost,Micheal Vaughn,2010-06-14,2010-07-22,2010-08-05
O20136,L10218,10361,Closed-Lost,William Hall,2010-06-17,2010-07-26,2010-08-12
O20137,L10222,31487,Closed-Lost,Shirley Gonzalez,2010-06-13,2010-08-09,2010-09-01
O20138,L10223,2919,Closed-Lost,Anna Allen,2010-06-19,2010-08-11,2010-08-26
O20139,L10224,971,Closed-Lost,Sandy Erickson,2010-06-09,2010-08-02,2010-08-17
O20140,L10226,4673,Closed-Lost,Samantha Khan,2010-06-11,2010-07-09,2010-07-21
O20141,L10227,1543,Closed-Lost,Steven Banks,2010-06-16,2010-07-18,2010-08-17
O20142,L10228,79014,Closed-Lost,Jennifer Brown,2010-06-14,2010-08-22,2010-09-21
O20143,L10229,10478,Closed-Lost,Becky Cervantes,2010-06-23,2010-08-02,2010-08-18
O20144,L10230,1391,Closed-Lost,Jessica Fox MD,2010-06-10,2010-08-24,2010-09-12
O20145,L10231,2359,Closed-Lost,William Cunningham,2010-06-24,2010-09-03,2010-09-13
O20146,L10232,8498,Closed-Won,Michael Henderson,2010-06-15,2010-07-05,2010-07-06
O20147,L10233,97761,Closed-Won,Christian Marshall,2010-06-18,2010-09-09,2010-09-15
O20148,L10234,32617,Closed-Lost,Richard Martinez,2010-06-29,2010-08-29,2010-09-22
O20149,L10235,4279,Closed-Lost,Linda Williamson,2010-06-25,2010-09-14,2010-09-29
O20150,L10238,14728,Closed-Lost,Jeremy Thomas,2010-06-22,2010-07-17,2010-08-13
O20151,L10239,28524,Closed-Lost,Carlos Eaton,2010-07-02,2010-08-12,2010-08-14
O20152,L10240,26556,Closed-Lost,Blake Phillips,2010-06-24,2010-08-18,2010-08-19
O20153,L10242,65742,Closed-Lost,Kenneth Berry,2010-06-21,2010-07-31,2010-07-28
O20154,L10243,17669,Closed-Won,Anthony Melendez,2010-07-05,2010-07-27,2010-08-03
O20155,L10244,12615,Closed-Won,Jonathan Brown,2010-07-07,2010-08-22,2010-08-31
O20156,L10245,312702,Closed-Lost,Travis Copeland,2010-07-09,2010-08-22,2010-08-22
O20157,L10248,3158,Closed-Lost,Gerald Wells,2010-07-12,2010-08-04,2010-08-14
O20158,L10249,1511,Closed-Lost,Yvonne Smith,2010-07-01,2010-08-27,2010-09-22
O20159,L10251,2925,Closed-Lost,Ronald Mccormick,2010-07-08,2010-08-20,2010-09-09
O20160,L10252,21095,Closed-Lost,Julie Kennedy,2010-07-13,2010-09-21,2010-10-13
O20161,L10253,5135,Closed-Lost,Jack Dixon,2010-07-11,2010-08-15,2010-08-21
O20162,L10254,78080,Closed-Lost,Diana Black,2010-07-13,2010-09-06,2010-09-20
O20163,L10255,8686,Closed-Lost,Charles Thompson,2010-07-01,2010-08-26,2010-09-23
O20164,L10256,17049,Closed-Lost,Bryan Wilson,2010-07-01,2010-08-21,2010-08-25
O20165,L10261,21514,Closed-Lost,Tracy Williams,2010-07-05,2010-07-26,2010-08-25
O20166,L10262,16699,Closed-Lost,Richard Ryan II,2010-07-12,2010-09-23,2010-10-17
O20167,L10266,50750,Closed-Lost,Rebecca Maldonado,2010-07-17,2010-09-15,2010-10-01
O20168,L10267,8378,Closed-Lost,Daniel Mcguire IV,2010-07-22,2010-09-02,2010-09-18
O20169,L10271,25823,Closed-Lost,Erik West,2010-07-14,2010-10-04,2010-11-01
O20170,L10273,26469,Closed-Won,Brianna Maxwell,2010-07-14,2010-09-29,2010-10-14
O20171,L10275,11312,Closed-Lost,Catherine Clark,2010-07-20,2010-08-16,2010-08-30
O20172,L10276,41303,Closed-Lost,Roger Miller,2010-07-16,2010-08-26,2010-08-24
O20173,L10278,13823,Closed-Won,Jessica Bates,2010-07-17,2010-08-14,2010-08-14
O20174,L10279,3291,Closed-Lost,Frank Cline,2010-08-04,2010-08-31,2010-09-27
O20175,L10280,86969,Closed-Lost,Allison Porter,2010-07-29,2010-10-24,2010-11-12
O20176,L10283,142910,Closed-Lost,Timothy Mejia,2010-08-02,2010-10-19,2010-10-28
O20177,L10286,36233,Closed-Lost,Joseph Christensen,2010-07-29,2010-08-21,2010-09-09
O20178,L10288,21586,Closed-Lost,Jessica Alvarez,2010-08-06,2010-10-12,2010-11-02
O20179,L10290,15867,Closed-Won,Jonathan Yu,2010-08-07,2010-09-11,2010-09-02
O20180,L10291,5636,Closed-Lost,Howard Brown,2010-08-05,2010-10-21,2010-11-13
O20181,L10293,178253,Closed-Lost,Krystal Campbell,2010-08-15,2010-10-22,2010-11-17
O20182,L10296,3915,Closed-Lost,Laura Jones,2010-08-14,2010-10-18,2010-10-20
O20183,L10300,19519,Closed-Lost,Stacy Green,2010-08-04,2010-08-31,2010-09-01
O20184,L10301,5558,Closed-Lost,Ashley Gordon,2010-08-11,2010-09-30,2010-10-20
O20185,L10304,8320,Closed-Lost,Alyssa Foley,2010-08-10,2010-10-21,2010-10-31
O20186,L10309,54868,Closed-Won,James Chapman,2010-08-26,2010-10-12,2010-10-13
O20187,L10311,1044118,Closed-Lost,Laura Williams,2010-08-19,2010-11-05,2010-11-22
O20188,L10312,97790,Closed-Lost,William Warner,2010-08-28,2010-11-10,2010-11-06
O20189,L10313,3894,Closed-Lost,Gary Campos,2010-08-30,2010-11-02,2010-11-02
O20190,L10317,148366,Closed-Lost,Donna Lara,2010-08-23,2010-11-04,2010-11-24
O20191,L10318,40848,Closed-Won,Mikayla Wolf,2010-08-28,2010-10-04,2010-10-19
O20192,L10321,112251,Closed-Lost,Brenda Smith,2010-09-05,2010-11-19,2010-11-21
O20193,L10325,1906,Closed-Lost,Gregory Calderon,2010-09-08,2010-10-11,2010-10-29
O20194,L10326,65917,Closed-Won,Tanya Martinez,2010-08-23,2010-09-27,2010-10-15
O20195,L10327,16831,Closed-Won,Stephen Simmons,2010-09-03,2010-09-25,2010-10-14
O20196,L10329,2790,Closed-Lost,Anthony Bowman,2010-09-08,2010-10-25,2010-10-28
O20197,L10332,8834,Closed-Lost,Ronald Berry,2010-09-09,2010-10-08,2010-11-07
O20198,L10333,14347,Closed-Lost,Kelly Smith,2010-09-01,2010-11-30,2010-12-02
O20199,L10335,7801,Closed-Lost,Scott Kemp,2010-09-05,2010-10-17,2010-10-29
O20200,L10336,46896,Closed-Lost,Brandon Griffin,2010-09-02,2010-09-25,2010-09-30
O20201,L10338,8558,Closed-Lost,Lori Rivera,2010-09-18,2010-11-24,2010-12-21
O20202,L10340,19109,Closed-Lost,Alyssa Washington,2010-09-10,2010-10-29,2010-11-14
O20203,L10341,4740,Closed-Won,Richard Dickerson,2010-09-15,2010-10-22,2010-10-13
O20204,L10344,16131,Closed-Lost,Julie Thomas,2010-09-24,2010-10-22,2010-11-17
O20205,L10345,2688,Closed-Lost,Jennifer Brown,2010-09-12,2010-10-30,2010-11-29
O20206,L10347,16824,Closed-Lost,Anthony Hood,2010-09-20,2010-12-11,2010-12-14
O20207,L10348,12303,Closed-Lost,Lindsey Fox,2010-09-28,2010-10-28,2010-10-25
O20208,L10349,89425,Closed-Lost,Miss Danielle Carroll,2010-09-24,2010-10-15,2010-11-13
O20209,L10350,9625,Closed-Lost,Erika Chambers,2010-09-14,2010-12-12,2010-12-13
O20210,L10351,10797,Closed-Won,Jamie Parker,2010-09-26,2010-11-19,2010-11-21
O20211,L10354,5539,Closed-Lost,Martin Gibson,2010-09-27,2010-11-06,2010-11-07
O20212,L10356,18991,Closed-Lost,Tina Rios,2010-09-19,2010-12-18,2010-12-28
O20213,L10357,29075,Closed-Lost,Laura Martinez,2010-09-19,2010-11-15,2010-11-10
O20214,L10358,73545,Closed-Lost,Cheryl Smith,2010-09-30,2010-11-15,2010-12-08
O20215,L10359,35700,Closed-Lost,Joseph Pena,2010-10-07,2010-11-30,2010-12-09
O20216,L10360,8676,Closed-Lost,Bryan Cantrell,2010-10-02,2010-11-26,2010-12-25
O20217,L10361,34652,Closed-Lost,Scott Stuart,2010-10-01,2010-11-07,2010-11-22
O20218,L10362,9501,Closed-Lost,Brian Andrews,2010-09-26,2010-12-14,2010-12-13
O20219,L10364,14748,Closed-Won,Robert Caldwell,2010-10-08,2010-12-12,2010-12-20
O20220,L10365,21679,Closed-Lost,Brian Buckley,2010-10-11,2010-11-17,2010-11-26
O20221,L10367,2178,Closed-Won,Michael Graham,2010-10-11,2010-12-09,2010-12-12
O20222,L10369,3097,Closed-Lost,Mr. Terry Wright,2010-09-26,2010-10-27,2010-11-11
O20223,L10370,21997,Closed-Lost,Jesse Medina,2010-09-27,2010-11-24,2010-11-19
O20224,L10371,77559,Closed-Lost,Brooke Castillo,2010-09-28,2010-11-11,2010-11-19
O20225,L10372,20447,Closed-Won,Anthony Rowe,2010-10-04,2010-11-26,2010-11-24
O20226,L10374,94966,Closed-Lost,Valerie Hale,2010-09-30,2010-11-13,2010-12-10
O20227,L10375,18010,Closed-Lost,Joseph Kirby,2010-10-02,2010-11-15,2010-11-25
O20228,L10378,34851,Closed-Lost,Christopher Hawkins,2010-10-07,2010-12-27,2011-01-21
O20229,L10380,5406,Closed-Lost,Megan Sanchez,2010-10-13,2010-11-24,2010-12-08
O20230,L10381,33992,Closed-Lost,Christopher Li,2010-10-11,2010-11-22,2010-11-19
O20231,L10382,12191,Closed-Lost,Abigail Ross,2010-10-05,2010-11-05,2010-11-30
O20232,L10385,3687,Closed-Lost,Kayla Jarvis,2010-10-20,2011-01-14,2011-02-08
O20233,L10386,6412,Closed-Lost,Nancy Khan,2010-10-25,2011-01-09,2011-01-28
O20234,L10387,47310,Closed-Lost,Tina Long,2010-10-13,2010-11-06,2010-11-30
O20235,L10388,34173,Closed-Lost,Alison Wilkinson,2010-10-16,2010-11-25,2010-11-29
O20236,L10389,1562,Closed-Lost,Alyssa Cooper,2010-10-28,2010-11-18,2010-12-10
O20237,L10390,18547,Closed-Won,Thomas Salas,2010-10-27,2011-01-12,2011-01-20
O20238,L10391,2637,Closed-Lost,Kelli Stein,2010-10-28,2011-01-06,2011-01-06
O20239,L10393,14989,Closed-Lost,Jessica Diaz,2010-10-14,2010-12-06,2010-12-01
O20240,L10394,1865,Closed-Lost,Dana Navarro,2010-10-25,2010-12-05,2010-12-12
O20241,L10396,8781,Closed-Lost,Michelle Raymond,2010-11-01,2010-12-30,2011-01-05
O20242,L10397,21820,Closed-Lost,Kathy Clark,2010-10-30,2010-12-17,2011-01-12
O20243,L10398,51287,Closed-Lost,Eric Ross,2010-11-01,2011-01-12,2011-02-07
O20244,L10399,23075,Closed-Won,Emily Lewis,2010-10-23,2010-11-14,2010-11-27
O20245,L10403,4342,Closed-Lost,James Curtis,2010-10-31,2010-11-22,2010-12-18
O20246,L10405,451435,Closed-Lost,Ashley Suarez,2010-10-25,2010-12-03,2010-12-11
O20247,L10406,42474,Closed-Won,Rachel Fletcher,2010-11-04,2010-12-10,2010-12-08
O20248,L10407,72579,Closed-Lost,Mitchell King,2010-11-09,2011-01-20,2011-01-17
O20249,L10409,62534,Closed-Won,Diana Williams,2010-11-03,2010-12-30,2010-12-20
O20250,L10410,860,Closed-Lost,Darrell Henry,2010-10-26,2010-12-26,2011-01-19
O20251,L10412,9023,Closed-Lost,Peter Lopez,2010-10-31,2010-12-13,2010-12-14
O20252,L10413,6489,Closed-Lost,Sonya Harper,2010-11-03,2011-01-11,2011-01-06
O20253,L10415,15442,Closed-Won,Benjamin Hall,2010-11-10,2011-01-14,2011-01-21
O20254,L10416,9655,Closed-Lost,Kari Moreno,2010-11-02,2010-11-25,2010-12-10
O20255,L10418,16135,Closed-Lost,Michelle Porter,2010-11-03,2010-12-15,2010-12-13
O20256,L10419,4905,Closed-Lost,Tracey Gutierrez,2010-11-12,2011-01-04,2011-01-01
O20257,L10420,21384,Closed-Lost,Edward Saunders,2010-11-06,2010-12-28,2010-12-25
O20258,L10422,8771,Closed-Lost,Amy Scott,2010-11-23,2011-01-11,2011-01-15
O20259,L10425,253917,Closed-Lost,Philip West,2010-11-21,2010-12-18,2011-01-05
O20260,L10428,1220,Closed-Lost,Kyle Adams,2010-11-20,2011-02-03,2011-02-26
O20261,L10429,2492,Closed-Lost,Jason Steele,2010-11-19,2011-01-18,2011-02-14
O20262,L10431,21471,Closed-Lost,Erik Gomez,2010-11-28,2010-12-22,2011-01-16
O20263,L10432,14784,Closed-Lost,Dean Trujillo,2010-11-26,2010-12-20,2010-12-27
O20264,L10433,4058,Closed-Lost,Anna Robinson,2010-11-23,2011-02-19,2011-02-15
O20265,L10434,124569,Closed-Lost,Patricia Ryan,2010-11-21,2011-01-31,2011-02-21
O20266,L10435,48212,Closed-Won,Stephen Brown,2010-11-23,2011-02-09,2011-02-13
O20267,L10437,19377,Closed-Won,Joshua Mckee,2010-11-27,2011-01-10,2011-01-10
O20268,L10441,15945,Closed-Lost,Keith Price,2010-12-05,2011-02-28,2011-03-01
O20269,L10443,22046,Closed-Lost,Ricardo Smith,2010-11-22,2011-02-10,2011-03-07
O20270,L10444,25990,Closed-Lost,Michael Lewis,2010-11-27,2011-01-20,2011-02-14
O20271,L10445,10536,Closed-Won,Stephen King,2010-11-26,2010-12-23,2011-01-06
O20272,L10447,23983,Closed-Lost,Robert Mills,2010-12-02,2011-02-23,2011-03-06
O20273,L10448,5111,Closed-Won,Stacy Humphrey,2010-12-05,2011-01-02,2011-01-01
O20274,L10450,7720,Closed-Lost,Yvonne Collins,2010-12-09,2011-01-05,2011-01-29
O20275,L10452,2925,Closed-Won,Mike Murphy,2010-12-09,2011-02-10,2011-02-01
O20276,L10454,6615,Closed-Won,Virginia Harris,2010-12-02,2011-01-18,2011-02-02
O20277,L10455,9520,Closed-Lost,Alejandro Finley,2010-12-04,2011-02-03,2011-02-04
O20278,L10458,5324,Closed-Lost,David Mcmahon,2010-12-16,2011-01-16,2011-01-26
O20279,L10459,11468,Closed-Lost,Jeffrey Brewer,2010-12-14,2011-02-04,2011-02-09
O20280,L10460,8128,Closed-Lost,Ariana Snyder,2010-12-20,2011-03-10,2011-03-09
O20281,L10461,227999,Closed-Lost,Andrea Warner,2010-12-22,2011-02-12,2011-03-13
O20282,L10462,34897,Closed-Won,Ryan Sanchez,2010-12-08,2011-02-23,2011-03-04
O20283,L10464,10971,Closed-Lost,Adam Callahan,2010-12-19,2011-02-09,2011-03-09
O20284,L10465,1366,Closed-Lost,Kevin Joseph,2010-12-21,2011-01-14,2011-01-28
O20285,L10466,12927,Closed-Won,Stephen Shepherd,2010-12-24,2011-03-06,2011-02-24
O20286,L10467,61740,Closed-Lost,Erik Brown,2010-12-24,2011-01-13,2011-01-22
O20287,L10468,19429,Closed-Lost,Edward Hernandez,2010-12-20,2011-02-24,2011-03-13
O20288,L10472,3025,Closed-Won,Anne Rodriguez,2010-12-28,2011-02-11,2011-02-26
O20289,L10473,12999,Closed-Lost,Deanna Castro,2010-12-30,2011-02-16,2011-03-17
